tweet_id,created_at,username,name,verified,text,categoria,termos_match,sentimento,likes,retweets
2078717582257893860,2026-07-19T05:44:26.000Z,capalbo78,André (selo azul Gold Platinum Plus turbo),False,@FlavioBolsonaro @tininhasouzarj Pqp. Vai reeleger o Lula. Não é possível.,NEUTRO,,0,0,0
2078716189870551483,2026-07-19T05:38:55.000Z,junji_79,Kage 🐆,False,@FlavioBolsonaro @tininhasouzarj Seu bandido vagabundo,RETORICA_AGRESSIVA,\bvagabund,0,0,0
2078715857077690529,2026-07-19T05:37:35.000Z,ZartanLucifer,ᛉᚨᚱᛏᚨᚾᛚᚢᚲᛁᚠᛖᚱ Z 🇳🇴,False,@FlavioBolsonaro @tininhasouzarj Vc é uma vergonha pro seu pai,NEUTRO,,-1,0,0
2078714662338584749,2026-07-19T05:32:50.000Z,pedrocunhamello,PEDRO CUNHA MELLO,False,"@FlavioBolsonaro @tininhasouzarj Por isso que você tá perdendo apoio na base, ninguém quer essas propostas populistas criadas pela esquerda, o povo quer fugir dessas armadilhas que está quebrando país.",NEUTRO,,1,0,0
2078713038262116392,2026-07-19T05:26:23.000Z,CostaAndre42552,Dedé irmão do Didi,False,@FlavioBolsonaro @tininhasouzarj E vai pagar o benefício com o que restou de CLT no país?,NEUTRO,,0,0,0
2078712948122378260,2026-07-19T05:26:02.000Z,Marie38540937,MT fuzilado🌸🐍,False,@FlavioBolsonaro @tininhasouzarj Retardado Você e seus irmãos são a desgraça da vida do seu pai,NEUTRO,,0,1,0
2078711450105749769,2026-07-19T05:20:04.000Z,niodiobruto,Niódio Bruto 🇮🇹 🇧🇷,False,@FlavioBolsonaro Aproveita e já corta o mindinho também.,NEUTRO,,0,0,0
2078711434435793346,2026-07-19T05:20:01.000Z,GJonil77,Grande Jonilson,False,"@FlavioBolsonaro @tininhasouzarj Horroroso, faz um favor e retira a merda da sua candidatura",NEUTRO,,0,0,0
2078711174108004672,2026-07-19T05:18:59.000Z,SeeleRedEye,🐆 SEELE 𒉭🇩🇪🏵️,False,@FlavioBolsonaro @GTomJobim @tininhasouzarj Tu é mais de esquerda que o Lula,NEUTRO,,0,0,0
2078710483700383986,2026-07-19T05:16:14.000Z,marcelo_jj,Marcelo Machado,False,@FlavioBolsonaro @tininhasouzarj Tu consegue piorar a cada dia,NEUTRO,,0,0,0
